Term	df	offset
aros	1	2323
around	25	2324
arpa	4	2349
arquett	1	2353
arrang	1	2354
arriv	6	2355
arrog	1	2361
art	8	2362
arthur	1	2370
articl	4	2371
artifici	3	2375
artisan	1	2378
artist	4	2379
artsi	1	2383
as	113	2384
ascii	120	2497
ash	1	2617
ashton	1	2618
asid	2	2619
ask	13	2621
asou	1	2634
aspect	2	2635
aspir	2	2637
ass	5	2639
assail	1	2644
assant	1	2645
assassin	2	2646
assault	1	2648
assembl	1	2649
assert	1	2650
assh*l	1	2651
assign	2	2652
assist	5	2654
associ	5	2659
assort	1	2664
assum	1	2665
assumpt	1	2666
assur	2	2667
astonish	1	2669
astound	2	2670
astronaut	1	2672
astronom	2	2673
asylum	1	2675
at	98	2676
athlet	2	2774
atkin	1	2776
atlanta	1	2777
atmospher	5	2778
atom	1	2783
atroc	1	2784
attach	3	2785
attack	2	2788
attain	1	2790
attempt	19	2791
attend	2	2810
attent	13	2812
attitud	4	2825
attorney	1	2829
attract	6	2830
attribut	1	2836
audaci	1	2837
audienc	40	2838
audio	1	2878
audit	1	2879
auggi	1	2880
aunt	2	2881
aura	1	2883
aurora	1	2884
austin	1	2885
australia	1	2886
australian	2	2887
auteuil	1	2889
authent	3	2890
author	120	2893
auto	1	3013
autobiographi	2	3014
automat	2	3016
avail	5	3018
avalon	2	3023
aveng	2	3025
averag	8	3027
avid	1	3035
aviva	1	3036
avoid	12	3037
aw	4	3049
await	2	3053
awak	2	3055
awar	2	3057
award	6	3059
away	25	3065
awesom	1	3090
awhil	1	3091
awkward	4	3092
awri	1	3096
axel	1	3097
aykroyd	1	3098
b&w	2	3099
babbl	2	3101
babi	9	3103
babylon	1	3112
babysit	5	3113
babysitt	1	3118
bach	1	3119
bachelor	1	3120
back	43	3121
backer	2	3164
background	6	3166
backstag	1	3172
backup	1	3173
bad	31	3174
badfilm	1	3205
badg	1	3206
badger	1	3207
badham	2	3208
badmen	1	3210
bail	1	3211
bailey	1	3212
bake	1	3213
baker	3	3214
bakker	1	3217
bald	1	3218
bale	2	3219
baless	1	3221
ballyhoo	1	3222
baltimor	2	3223
bamba	2	3225
ban	1	3227
band	4	3228
bandit	3	3232
bandito	1	3235
bang	2	3236
bangkok	1	3238
banjo	1	3239
bank	4	3240
bankrupt	1	3244
banter	2	3245
banzai	2	3247
baptism	1	3249
bar	1	3250
barbarian	2	3251
barbera	1	3253
barbi	1	3254
bare	5	3255
bargain	1	3260
baron	1	3261
baroqu	1	3262
barri	3	3263
barrier	1	3266
barrymor	1	3267
barta	1	3268
base	21	3269
basebal	3	3290
basement	2	3293
bash	1	3295
basi	2	3296
basic	13	3298
basil	1	3311
basing	2	3312
basketbal	3	3314
bassing	1	3317
batho	2	3318
bathroom	1	3320
batman	2	3321
batteri	1	3323
battl	9	3324
baum	1	3333
bawdi	2	3334
bayli	1	3336
bayonet	1	3337
bb	1	3338
bbc	1	3339
bbs	1	3340
be	108	3341
beach	4	3449
bear	6	3453
beat	11	3459
beatl	2	3470
beatti	3	3472
beauti	16	3475
beaver	30	3491
becam	4	3521
becaus	35	3525
becker	1	3560
beckon	1	3561
becom	37	3562
bed	2	3599
bedroom	1	3601
bedtim	1	3602
beef	1	3603
been	57	3604
beer	3	3661
befal	1	3664
befel	1	3665
befor	44	3666
beg	1	3710
began	3	3711
begin	24	3714
behav	4	3738
behavior	2	3742
behead	1	3744
behind	14	3745
belafont	1	3759
belief	4	3760
believ	35	3764
belizair	1	3799
belli	1	3800
bellow	1	3801
belong	120	3802
belov	2	3922
below	8	3924
belt	1	3932
ben	1	3933
bend	3	3934
beneath	1	3937
benefactor	1	3938
benefit	2	3939
benjamin	1	3941
benni	1	3942
benson	1	3943
beplum	1	3944
beret	1	3945
bergerac	1	3946
berglund	1	3947
bergmen	1	3948
berkeley	1	3949
berl	1	3950
berni	3	3951
bernstein	1	3954
berri	1	3955
beru	1	3956
besid	7	3957
best	46	3964
besvat	1	4010
beta	1	4011
betray	1	4012
better	37	4013
between	40	4050
bever	5	4090
bewar	1	4095
bewild	3	4096
bewilder	1	4099
beyond	7	4100
bi	1	4107
bibl	1	4108
biblic	1	4109
bicycl	1	4110
bidder	1	4111
big	21	4112
bigfoot	1	4133
bigger	4	4134
biggest	4	4138
bigotri	1	4142
biker	3	4143
bikini	2	4146
bill	6	4148
billi	6	4154
billion	1	4160
bilson	1	4161
binder	1	4162
bingo	2	4163
biograph	1	4165
biographi	2	4166
bird	2	4168
birth	3	4170
birthday	1	4173
bisset	1	4174
bit	18	4175
bitch	1	4193
bite	1	4194
bitten	1	4195
bitter	1	4196
bittersweet	1	4197
biz	1	4198
bizarr	9	4199
black	9	4208
blackbal	1	4217
blackest	1	4218
blackmail	1	4219
blade	1	4220
bladerunn	2	4221
blake	3	4223
blame	1	4226
bland	1	4227
blanket	1	4228
blast	1	4229
blaster	1	4230
blatant	4	4231
blaze	3	4235
blech	1	4238
blend	3	4239
blew	1	4242
blimp	1	4243
blind	4	4244
blitzkrieg	1	4248
blob	1	4249
block	4	4250
blockbust	1	4254
blood	12	4255
bloodlet	1	4267
bloodlett	1	4268
bloodsh	1	4269
bloodstain	1	4270
blow	3	4271
blown	3	4274
bludgeon	1	4277
blue	8	4278
blunder	1	4286
board	3	4287
boast	2	4290
boat	1	4292
bob	8	4293
bobbi	2	4301
bodi	10	4303
bodyguard	1	4313
boer	1	4314
bogomil	1	4315
boil	2	4316
boilerpl	1	4318
bolo	1	4319
bolt	1	4320
bomb	3	4321
bombard	1	4324
bombast	1	4325
bond	7	4326
bonet	1	4333
bonfire/parti	1	4334
bonni	1	4335
boo	1	4336
boogi	1	4337
book	19	4338
boon	1	4357
boondoggl	1	4358
boot	5	4359
booth	2	4364
booz	1	4366
borden	1	4367
border	6	4368
bore	8	4374
boredom	1	4382
borg	1	4383
borgess	1	4384
born	2	4385
borrow	6	4387
boss	4	4393
bosss	3	4397
boston	1	4400
both	28	4401
bother	2	4429
bottin	2	4431
bottl	1	4433
bought	3	4434
bounc	1	4437
bound	1	4438
bounti	1	4439
bouquet	1	4440
bout	3	4441
boweri	1	4444
bowi	1	4445
bowl	1	4446
box	2	4447
boxoffic	2	4449
boy	16	4451
boyfriend	2	4467
boyhood	1	4469
boyish	1	4470
brach	1	4471
brad	1	4472
brain	3	4473
brainstorm	1	4476
brakhag	1	4477
brand	1	4478
brando	1	4479
brannstrom	1	4480
brash	1	4481
brass	2	4482
brat	1	4484
bravado	1	4485
brazil	1	4486
brazilian	1	4487
brazo	1	4488
bread	1	4489
break	7	4490
breakdown	1	4497
breaker	1	4498
breath	1	4499
breathtak	2	4500
breed	1	4502
breez	2	4503
brenda	1	4505
brewton	1	4506
brian	5	4507
bribe	1	4512
bride	1	4513
bridg	2	4514
brief	4	4516
briefli	3	4520
brigg	1	4523
bright	3	4524
brillianc	1	4527
brilliant	5	4528
bring	22	4533
brisk	1	4555
britain	5	4556
british	10	4561
broad	3	4571
broadband	1	4574
broaden	1	4575
broadway	1	4576
broccoli	2	4577
broderick	1	4579
broke	2	4580
broken	120	4582
bromssen	1	4702
bronson	1	4703
bronx	1	4704
brook	2	4705
brooksfilm	1	4707
brookss	1	4708
broom	1	4709
broomfield	1	4710
brosnan	2	4711
broth	1	4713
brother	16	4714
brotherhood	1	4730
brought	4	4731
brow	1	4735
brown	1	4736
bruce	5	4737
brundl	2	4742
brush	2	4744
brutal	6	4746
brute	1	4752
bubbl	1	4753
buchalt	1	4754
buck	4	4755
buckaroo	1	4759
buckeroo	1	4760
bucketload	1	4761
bud	1	4762
buddi	1	4763
budget	5	4764
bueller	1	4769
buff	1	4770
buffoon	1	4771
bug	1	4772
build	7	4773
buildup	1	4780
built	2	4781
bulgaria	1	4783
bulk	1	4784
bulki	1	4785
bullet	3	4786
bulli	1	4789
bum	2	4790
bumbl	1	4792
bump	2	4793
bunch	6	4795
bunyan	1	4801
buoy	1	4802
burgeon	1	4803
burglar	2	4804
buri	1	4806
burn	7	4807
burwel	1	4814
bus	1	4815
busey	2	4816
busi	12	4818
bust	1	4830
buster	1	4831
but	16	4832
butch	1	4848
butcher	1	4849
butt	2	4850
butter	2	4852
buttock	1	4854
button	2	4855
buy	2	4857
bvd	1	4859
by	8	4860
byberni	1	4868
bybilli	3	4869
bybrian	1	4872
byclark	2	4873
bycraig	6	4875
bydal	1	4881
bydan	3	4882
bye	1	4885
byellen	1	4886
byevelyn	1	4887
bygari	1	4888
bygreg	1	4889
byhal	1	4890
byjam	1	4891
byjeff	28	4892
byjon	1	4920
bymark	37	4921
bymartin	1	4958
bymiriam	1	4959
byneil	3	4960
bypet	2	4963
byrosenzw@svax.cs.cornell.edu	1	4965
bys	1	4966
bysean	1	4967
bystand	3	4968
bystev	14	4971
bystuart	2	4985
byterri	1	4987
bythuan	1	4988
bytim	1	4989
bytod	1	4990
bywilliam	1	4991
cabin	1	4992
cabinet	2	4993
cabl	7	4995
cackl	1	5002
cadillac	1	5003
cafe	1	5004
cage	4	5005
cairo	1	5009
cajun	1	5010
calcul	1	5011
calib	3	5012
california	5	5015
caligari	1	5020
call	25	5021
callimastian	1	5046
callous	1	5047
calm	2	5048
calori	1	5050
cambodia	2	5051
cambodian	1	5053
cambon	1	5054
came	14	5055
camel	2	5069
cameo	7	5071
camera	15	5078
cameraman	2	5093
camerawork	1	5095
camouflag	1	5096
camp	4	5097
campi	1	5101
can	62	5102
canada	1	5164
canbi	1	5165
cancel	2	5166
candi	1	5168
cane	1	5169
cannon	2	5170
cannonbal	1	5172
cannot	10	5173
cant	24	5183
cantanker	1	5207
cantina	1	5208
cap	2	5209
capabl	5	5211
capac	1	5216
cape	1	5217
capit	2	5218
capon	3	5220
capra	3	5223
capsul	37	5226
captain	2	5263
captiv	1	5265
captur	12	5266
car	15	5278
caravaggio	1	5293
cardboard	2	5294
care	21	5296
career	3	5317
caribbean	1	5320
caricatur	2	5321
carl	3	5323
carla	1	5326
carlo	1	5327
carol	2	5328
carradin	1	5330
carrboro	3	5331
carri	12	5334
carrot	1	5346
carter	2	5347
carv	1	5349
casablanca	1	5350
case	8	5351
casino	1	5359
cassidi	1	5360
cast	28	5361
castl	4	5389
cat	1	5393
cataclysm	1	5394
catalyst	1	5395
catarina	1	5396
catch	3	5397
categori	2	5400
caterpillar	1	5402
catherin	1	5403
cathi	1	5404
cathol	2	5405
catskil	1	5407
caught	1	5408
caus	13	5409
cavali	1	5422
caveat	1	5423
cavett	1	5424
cci	10	5425
ceddo	1	5435
celebr	5	5436
cell	1	5441
cellar	1	5442
cellist	2	5443
center	10	5445
central	3	5455
centuri	7	5458
cerebr	1	5465
ceremoni	1	5466
certain	24	5467
chain	4	5491
chair	1	5495
challeng	2	5496
chambon	1	5498
chameleon	1	5499
champ	1	5500
champagn	2	5501
champion	3	5503
chanc	6	5506
chandler	1	5512
chang	16	5513
channel	2	5529
chao	2	5531
chaotic	1	5533
chapter	2	5534
charact	69	5536
character	5	5605
characterist	1	5610
charg	5	5611
charisma	2	5616
charismat	2	5618
chariti	1	5620
charl	5	5621
charleen	1	5626
charli	1	5627
charlott	1	5628
charm	9	5629
chase	11	5638
chaser	1	5649
chast	1	5650
chauffeur	1	5651
cheap	4	5652
check	2	5656
cheek	4	5658
cheer	3	5662
chef	2	5665
chemistri	2	5667
cher	3	5669
cherri	2	5672
cheryl	1	5674
chest	2	5675
chew	1	5677
chewbacca	1	5678
chicago	8	5679
chicken	3	5687
chief	4	5690
chiefli	1	5694
chih	1	5695
child	5	5696
childhood	2	5701
childish	2	5703
childlik	1	5705
children	15	5706
chill	1	5721
chimp	1	5722
chimpanze	1	5723
china	3	5724
chines	2	5727
chip	1	5729
chistoph	1	5730
choi	1	5731
choic	3	5732
chomp	1	5735
choos	2	5736
choose}!ucbvax!miro!stephen	1	5738
chore	2	5739
choreograph	2	5741
chose	3	5743
chosen	3	5746
chris	5	5749
chriss	2	5754
christ	1	5756
christi	1	5757
christian	1	5758
christma	1	5759
christoph	3	5760
chronicl	2	5763
chuck	2	5765
chuckl	2	5767
church	3	5769
churchil	1	5772
churlish	1	5773
churn	1	5774
cia	3	5775
cigar	3	5778
cinema	7	5781
cinemat	6	5788
cinematograph	4	5794
cinematographi	9	5798
cinemax	1	5807
cipher	1	5808
circuit	1	5809
circumst	1	5810
citi	14	5811
citizen	2	5825
citizenship	1	5827
civil	4	5828
claim	8	5832
clair	1	5840
clan	1	5841
clare	1	5842
clariti	1	5843
clark	4	5844
clark%ics@sdcsvax.ucsd.edu	1	5848
clark@nprdc.arpa	1	5849
clash	2	5850
class	8	5852
classic	10	5860
classmat	1	5870
classroom	1	5871
claud	1	5872
clavel	1	5873
clay	1	5874
clean	6	5875
clear	13	5881
clearest	1	5894
clell	1	5895
clerk	3	5896
clever	9	5899
clich	8	5908
click	1	5916
client	2	5917
climact	1	5919
climat	3	5920
climax	1	5923
climb	3	5924
clip	6	5927
cloak	1	5933
clockwork	1	5934
clone	1	5935
close	13	5936
closer	2	5949
closest	3	5951
closet	1	5954
cloth	3	5955
cloud	1	5958
clouseau	1	5959
cloy	3	5960
club	2	5963
clue	5	5965
clumsi	1	5970
clutch	1	5971
clyde	1	5972
co	3	5973
coach	6	5976
coast	1	5982
cobb	2	5983
cobra	1	5985
cocki	1	5986
cockney	1	5987
coconut	1	5988
code	1	5989
coen	3	5990
coffe	3	5993
cognat	1	5996
cognit	1	5997
cohen	1	5998
coil	1	5999
coincid	4	6000
coincident	1	6004
col	1	6005
cold	3	6006
collabor	5	6009
collachia	1	6014
collar	1	6015
collect	2	6016
collector	1	6018
colleg	1	6019
collin	1	6020
collis	1	6021
coloni	1	6022
color	9	6023
colorless	1	6032
colton	1	6033
columbia	2	6034
columbo	1	6036
columbus	2	6037
column	1	6039
columnist	1	6040
combat	3	6041
combin	12	6044
come	48	6056
comed	2	6104
comedi	33	6106
comedian	1	6139
comedienn	1	6140
comedy...and	1	6141
comedy/drama	1	6142
comfort	3	6143
comic	19	6146
command	2	6165
commando	2	6167
comment	16	6169
commentari	2	6185
comments/critic	120	6187
commerci	5	6307
commit	5	6312
committe	1	6317
common	4	6318
communic	2	6322
communist	1	6324
communiti	8	6325
compani	10	6333
companion	2	6343
compar	6	6345
comparison	8	6351
comparit	1	6359
compassion	1	6360
compel	3	6361
compet	9	6364
competit	3	6373
complain	6	6376
complaint	4	6382
complement	1	6386
complet	15	6387
completist	1	6402
complex	7	6403
complic	5	6410
compliment	1	6415
compos	2	6416
composit	1	6418
compromis	1	6419
comput	4	6420
comrad	1	6424
con	1	6425
conan	2	6426
conceit	1	6428
concentr	4	6429
concept	14	6433
concern	5	6447
concert	2	6452
concess	1	6454
conclud	3	6455
conclus	7	6458
concoct	1	6465
condescens	1	6466
condit	4	6467
condo	1	6471
coney	2	6472
confid	2	6474
confirm	3	6476
conflict	4	6479
confront	4	6483
confus	5	6487
conjunct	1	6492
connect	7	6493
connecticut	1	6500
connelli	1	6501
conneri	6	6502
conni	2	6508
connoisseur	1	6510
conquer	1	6511
conscienc	1	6512
conscious	5	6513
consensus	1	6518
consequ	3	6519
conserv	1	6522
consid	10	6523
consider	4	6533
consist	9	6537
conspiraci	1	6546
constant	6	6547
constip	1	6553
constitut	1	6554
construct	2	6555
consult	2	6557
consum	2	6559
contact	1	6561
contain	9	6562
contempl	1	6571
contemporari	1	6572
contempt	1	6573
contend	2	6574
content	120	6576
contest	1	6696
continu	14	6697
contract	2	6711
contractor	1	6713
contradict	1	6714
contrast	1	6715
contribut	4	6716
contriv	3	6720
control	120	6723
controversi	3	6843
conveni	1	6846
convent	3	6847
convers	120	6850
convert	1	6970
convey	1	6971
convict	2	6972
convinc	9	6974
cooder	1	6983
coogan	1	6984
cook	3	6985
cool	1	6988
coolli	1	6989
coopersmith	1	6990
coor	1	6991
cop	17	6992
copi	1	7009
coppola	1	7010
cops...wel	1	7011
copyright	120	7012
core	3	7132
corman	2	7135
corn	2	7137
corner	1	7139
corni	2	7140
corniest	1	7142
coron	1	7143
corpor	3	7144
corps	2	7147
correct	1	7149
correspond	1	7150
corrupt	3	7151
cost	4	7154
costello	1	7158
costner	3	7159
costum	3	7162
cotton	1	7165
couch	1	7166
could	53	7167
couldnt	3	7220
council	1	7223
counsel	1	7224
count	7	7225
counterpoint	1	7232
countri	14	7233
countrymen	1	7247
countrysid	1	7248
coupl	15	7249
courag	3	7264
cours	27	7267
court	2	7294
courtney	1	7296
courtroom	1	7297
cousin	2	7298
cover	5	7300
covet	1	7305
coward	3	7306
cowboy	1	7309
cox	2	7310
crack	1	7312
cracraft	2	7313
craft	4	7315
craftsman	1	7319
craig	6	7320
crane	1	7326
crap	1	7327
crash	2	7328
craven	2	7330
crawl	1	7332
craze	1	7333
crazi	4	7334
creak	1	7338
creat	23	7339
creation	1	7362
creativ	8	7363
creatur	5	7371
credibl	4	7376
credit	20	7380
creek	1	7400
creep	3	7401
creepi	1	7404
creepshow	1	7405
crescent	1	7406
crew	4	7407
cri	3	7411
crime	13	7414
crimin	6	7427
cripe	1	7433
crise	1	7434
crisp	1	7435
crispli	1	7436
criteria	1	7437
critic	12	7438
critiqu	1	7450
cronenberg	1	7451
crook	3	7452
crop	1	7455
cross	7	7456
crowd	3	7463
crucifi	1	7466
crucifix	1	7467
crude	4	7468
cruel	1	7472
cruella	1	7473
crueller	1	7474
cruelti	2	7475
crumb	1	7477
crusad	1	7478
crush	1	7479
cs!reiher	2	7480
csam}!fluke!moriarti	28	7482
csnet	2	7510
cuckoo	1	7512
cull	1	7513
culmin	1	7514
cult	2	7515
cultur	4	7517
cumbersom	1	7521
cup	1	7522
curios	1	7523
curious	1	7524
current	6	7525
curti	3	7531
cush	1	7534
custom	2	7535
cut	11	7537
cute	5	7548
cutesey	1	7553
cutout	1	7554
cutter	1	7555
cy	1	7556
cyber	1	7557
cybernet	1	7558
cyborg	4	7559
cyclon	1	7563
cynic	3	7564
cyphr	2	7567
cyrano	2	7569
czar	1	7571
czech	1	7572
czechoslovakia	2	7573
d.s	1	7575
d.w	1	7576
da	1	7577
dabo	3	7578
dad	3	7581
daili	2	7584
dale	1	7586
dalmatian	1	7587
dalton	4	7588
damag	3	7592
dammit	1	7595
damsel	1	7596
dan	4	7597
danc	8	7601
dancer	1	7609
danger	13	7610
daniel	2	7623
danni	5	7625
dant	1	7630
dare	1	7631
dark	2	7632
darker	1	7634
darl	1	7635
darn	3	7636
darrel	1	7639
darryl	1	7640
dart	1	7641
daryl	3	7642
dash	1	7645
dashiel	1	7646
data	2	7647
databas	120	7649
date	10	7769
daughter	13	7779
davi	4	7792
david	15	7796
dawn	1	7811
day	26	7812
daydream	2	7838
daylight	4	7840
daytim	1	7844
dazzl	2	7845
dc	1	7847
dcdwest}!sdcsvax!sdics!clark.uucp	2	7848
de	7	7850
de.rec.film.kritiken	120	7857
dead	14	7977
deal	15	7991
dealer	2	8006
dealership	1	8008
dealt	3	8009
dear	1	8012
death	13	8013
debat	2	8026
debonair	2	8028
debt	1	8030
debut	2	8031
debutant	1	8033
decad	5	8034
decay	1	8039
decent	6	8040
decept	1	8046
decid	17	8047
decim	1	8064
decis	3	8065
declin	1	8068
decvax	6	8069
dedic	2	8075
deep	3	8077
deepli	4	8080
deer	1	8084
defac	1	8085
defect	1	8086
defector	1	8087
defend	3	8088
defens	2	8091
defer	2	8093
defiant	1	8095
defin	2	8096
definit	9	8098
deform	1	8107
deft	1	8108
defus	1	8109
degener	1	8110
degre	4	8111
delight	3	8115
delinqu	1	8118
deliv	5	8119
delus	1	8124
demm	1	8125
demon	2	8126
demonstr	3	8128
deni	4	8131
deniro	4	8135
denni	6	8139
denouement	1	8145
dens	1	8146
dentist	1	8147
denver	3	8148
depalma	3	8151
depardieu	1	8154
depart	7	8155
departur	2	8162
depend	2	8164
depict	4	8166
deport	2	8170
deposit	1	8172
deprav	1	8173
depress	3	8174
depth	2	8177
derek	1	8179
deriv	1	8180
des	1	8181
descend	2	8182
descent	1	8184
describ	8	8185
desert	2	8193
deserv	11	8195
design	6	8206
desire	1	8212
desk	1	8213
desoto	1	8214
despair	1	8215
desper	6	8216
desperatley	1	8222
despit	8	8223
destin	2	8231
destini	1	8233
destroy	4	8234
destruct	6	8238
detach	2	8244
detail	12	8246
detect	5	8258
detent	1	8263
deterior	1	8264
determin	1	8265
detour	1	8266
detract	2	8267
detriot	1	8269
detroit	4	8270
devast	1	8274
develop	8	8275
development	1	8283
deviat	1	8284
devic	2	8285
devil	5	8287
devito	1	8292
devot	2	8293
di	1	8295
diagnosi	1	8296
dialog	1	8297
dialogu	21	8298
diamond	4	8319
diari	2	8323
dick	3	8325
dicken	1	8328
did	41	8329
didnt	20	8370
die	14	8390
diego	2	8404
diet	1	8406
differ	120	8407
difficult	11	8527
difficulti	2	8538
digest	1	8540
dignam	1	8541
dignitari	1	8542
digniti	2	8543
digress	1	8545
dilemma	3	8546
dilut	1	8549
dimension	5	8550
dimwit	1	8555
diner	2	8556
ding	1	8558
dingi	1	8559
dinki	1	8560
dinner	5	8561
dinosaur	1	8566
dipsomaniac	1	8567
direct	120	8568
director	38	8688
director/screenwrit	3	8726
director/writ	5	8729
directori	1	8734
dirt	2	8735
dirti	5	8737
disabl	1	8742
disagr	1	8743
disagre	1	8744
disappear	6	8745
disappoint	7	8751
disast	3	8758
disastr	2	8761
disbelief	3	8763
disc	1	8766
discipl	1	8767
disco	1	8768
disconnect	1	8769
discov	7	8770
